"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-0.146009","-0.301574","-0.482496","-0.576089","-0.577448","-0.638141","-0.611178","-0.378074","-0.11824","0.157689","0.192972","0.581924","0.285402","0.283517","0.605847","0.087817","1.989641","0.420788","-0.141802","0.039934","0.556018","0.227191","0.108722","-0.109491","-0.260726","-0.141324","-0.080688","-0.169244","-0.206905","-0.157361","-0.088542","-0.015865","0.032671","0.287034","0.478188","0.54096","0.370822","0.109175","0.009455","0.101723","0.053747","-0.000526","-0.073073","-0.19948","-0.106601","-0.013337","2"
"-0.779453","-0.477238","-0.538142","-0.706464","-0.571023","-0.30937","-0.017643","-0.303677","-0.498788","0.027023","0.488668","0.329673","0.779996","1.029014","0.568645","-0.077624","0.874626","-0.311198","0.121232","0.44975","0.052045","-0.106433","0.259059","0.113905","-0.124598","-0.296829","-0.295933","-0.146939","-0.143768","-0.119112","-0.23011","-0.206107","0.030627","0.202448","0.31493","0.270929","0.229322","0.133042","0.124199","0.149941","0.19812","-0.010563","-0.058473","0.237798","0.24869","-0.071672","2"
"-0.53669","-0.678024","-0.583523","-0.513068","-0.171086","0.039318","-0.11232","-0.221797","0.103043","0.852478","0.805223","1.340496","0.455906","0.172843","0.827715","1.355665","-0.948475","0.314637","0.266942","0.288743","-0.07332","-0.150551","-0.338813","-0.21985","-0.185645","-0.243653","-0.370796","-0.345569","-0.121085","-0.113275","-0.135481","-0.095699","-0.071328","-0.175666","-0.201283","-0.064112","0.079715","0.163275","0.244151","0.111794","-0.068192","0.053061","0.091992","0.015985","-0.039411","-0.194224","2"
"-0.290253","-0.100358","0.046192","-0.098671","-0.056031","0.116099","0.443093","0.424917","0.179265","0.371034","0.509392","0.420984","0.239774","0.021159","0.50614","0.331303","0.061364","0.161032","-0.263956","-0.107404","0.044395","0.043558","-0.100341","-0.200706","-0.062635","-0.014363","-0.121053","-0.303403","-0.182684","-0.037593","-0.08674","-0.23454","-0.370264","-0.201432","0.167551","0.292655","0.230324","-0.017138","-0.030182","0.129233","0.104775","0.069176","0.00165","0.012382","0.041443","-0.082432","2"
"-0.557157","-0.608277","-0.609041","-0.538573","-0.499998","-0.241943","-0.173185","0.119427","0.464869","0.567066","0.505699","0.929038","1.361364","1.025341","0.15242","0.329942","0.879636","1.345211","0.085242","0.497012","0.21261","0.044164","-0.067526","-0.17517","-0.299872","-0.425534","-0.416707","-0.460513","-0.429516","-0.268966","-0.159236","-0.257155","-0.157105","0.099694","0.460917","0.3744","0.411219","0.372634","0.274656","0.236585","0.201824","0.13799","0.134956","0.058068","0.089595","0.148679","2"
"-0.472301","-0.242021","-0.140343","-0.111098","0.031735","0.008298","0.216799","0.317167","0.377127","0.712438","0.402375","0.531716","0.786305","0.355307","0.226852","-0.060756","-0.496085","-0.060099","0.211704","0.35713","-0.134824","-0.222642","-0.027035","0.321848","0.133948","-0.12055","-0.183309","-0.157909","-0.161995","-0.18834","-0.282362","-0.211117","0.021551","0.113953","0.255383","0.435618","0.400867","0.272199","0.180065","0.121121","0.099146","0.095445","-0.039765","-0.129827","0.051123","0.085495","2"
"-0.467944","-0.438042","-0.513025","-0.378258","-0.384858","-0.395341","0.027528","0.025037","-0.236916","0.532903","0.80369","0.703898","1.005146","0.619282","-0.379232","0.365531","0.409977","0.043882","-0.244597","-0.212261","-0.118477","-0.200753","-0.052742","-0.056217","-0.21533","-0.385805","-0.424435","-0.281664","-0.158353","-0.165874","-0.245246","-0.18987","0.035077","0.322925","0.505165","0.289245","0.043841","0.048001","0.1896","0.210667","0.099897","-0.192472","-0.26032","-0.193588","-0.007094","0.123435","2"
"-0.282542","-0.148647","-0.198301","-0.207547","0.08438","0.414262","0.308926","0.258837","0.421312","0.598765","0.767328","0.773222","0.376665","0.476198","0.587354","-0.073727","-0.124448","-0.05997","0.532062","0.676096","-0.089136","0.105827","0.199057","-0.084724","-0.012713","-0.046759","-0.138851","-0.311966","-0.335524","-0.251214","-0.242157","-0.245032","-0.30687","-0.181641","0.013133","0.194498","0.338384","0.408733","0.386085","0.228504","0.080288","0.159051","0.246474","0.175505","0.065008","-0.085271","2"
"-0.386846","-0.467489","-0.389194","-0.332488","-0.23143","-0.12888","-0.034105","0.138287","0.314224","0.297805","0.345963","0.262056","0.554894","0.901701","0.525971","0.301694","0.359376","0.476527","-0.53454","-0.062987","0.297103","0.093631","-0.240407","-0.150185","-0.073479","-0.115657","-0.231403","-0.30478","-0.391422","-0.370606","-0.276505","-0.26375","-0.32596","-0.125906","0.063768","0.108201","0.289271","0.27038","0.106404","0.161716","0.076788","0.138725","0.185927","0.017915","-0.238928","-0.161561","2"
"-0.522513","-0.175368","-0.337811","-0.392178","-0.046524","0.341003","0.103034","-0.034014","0.434545","0.550234","0.791143","0.914823","0.523028","0.068322","0.156695","1.81467","-0.333477","-0.05457","-0.044389","0.178027","0.314209","0.014635","-0.282342","-0.215936","-0.123265","-0.264604","-0.350748","-0.391817","-0.365289","-0.19071","-0.091871","0.071524","0.167719","0.10773","0.081396","0.055483","0.05372","0.063597","0.03257","0.052119","0.09726","0.066231","0.101669","0.095395","0.164328","0.18417","2"
"-0.669182","-0.596726","-0.466143","-0.488013","-0.616366","-0.220351","0.066673","-0.272537","-0.019824","0.756367","0.739242","1.395592","0.94262","0.674717","0.70732","0.570969","1.77857","-0.657975","0.077513","0.4263","0.206724","-0.036155","-0.120432","-0.219835","-0.215692","-0.172002","-0.147647","-0.139879","-0.06832","0.044201","0.078721","-0.000318","-0.105217","-0.145275","-0.1979","-0.269395","-0.237713","-0.189881","-0.125194","-0.200634","-0.135396","0.000923","-0.056837","-0.110076","-0.091143","-0.201755","2"
"-0.444188","-0.281869","-0.033272","0.016488","-0.20136","0.010883","0.098702","-0.050179","0.085691","0.280223","0.387649","0.635895","0.903283","1.16925","-0.112647","-0.767153","0.039771","-0.106343","0.360074","0.017002","-0.210002","-0.014077","0.151905","0.141249","-0.111397","-0.134264","-0.136416","-0.096849","-0.080059","-0.076091","-0.153531","-0.206015","0.11422","0.34533","0.358263","0.30331","0.042966","-0.069004","0.041153","0.106862","0.051502","-0.148757","-0.292604","-0.328669","-0.296286","-0.358227","2"
"0.106839","0.05176","0.383804","0.411159","0.231139","0.289407","0.083383","0.061467","0.257157","0.606997","-0.11596","0.125635","0.546172","-0.492212","-0.689728","0.895845","0.500248","-0.372571","-0.253035","0.070067","0.343678","0.585984","0.25149","-0.057942","-0.21666","-0.029967","-0.028315","-0.217337","-0.258472","-0.312818","-0.213064","-0.150667","0.023381","0.036924","0.002178","0.364119","0.392763","0.230236","0.208459","0.3808","0.413568","0.668461","0.56209","0.33156","0.201338","0.009864","2"
"-0.342895","-0.302875","-0.312855","-0.29838","-0.132389","-0.092871","-0.179205","-0.099391","-0.115349","-0.232452","-0.148265","0.153411","0.170983","-0.23674","0.657457","0.921756","-0.202007","0.39324","0.471363","0.480003","0.225663","0.080461","0.076221","0.008371","-0.083757","-0.123231","-0.182949","-0.110746","-0.105248","-0.088688","-0.02926","0.114852","0.298663","0.344977","0.259794","0.318618","0.390348","0.429861","0.418655","0.272892","0.126578","0.176217","0.182613","-0.029513","-0.246634","-0.306794","2"
"-0.007589","-0.003696","-0.05038","-0.144167","-0.036642","0.457625","0.163516","-0.005975","0.229717","0.682152","0.845344","0.702407","0.749722","-0.257934","0.424462","0.148926","0.157751","-0.252739","0.111796","0.169887","0.114039","-0.074681","-0.219864","-0.412647","-0.303426","-0.296188","-0.324035","-0.231508","-0.152977","-0.123655","-0.04717","0.08456","0.134462","0.077768","0.087287","-0.006448","-0.128465","-0.023638","0.044268","0.05211","0.027185","-0.01017","-0.08495","-0.068849","-0.171692","-0.108124","2"
"-0.333969","-0.251907","-0.171616","-0.114555","0.142152","0.329805","0.209234","0.209857","0.577551","0.859966","0.583133","0.814258","0.263043","0.50105","1.234307","0.134155","-0.329398","-0.374359","0.234697","-0.024388","0.529601","0.010087","-0.418406","-0.011478","0.399002","0.09287","-0.268151","-0.453019","-0.145088","-0.044164","-0.152742","-0.300445","-0.316202","-0.143242","0.079012","0.100566","-0.028953","-0.084293","-0.099488","-0.13383","-0.121651","-0.144767","-0.102552","-0.105605","-0.090666","0.009933","2"
"-0.596535","-0.48272","-0.32528","-0.364502","-0.110367","0.086718","0.076403","-0.240361","-0.06402","0.511675","0.640784","0.390742","1.077529","0.62577","0.081261","0.540065","0.303782","0.611205","0.114331","0.408446","0.358371","-0.017588","-0.131723","-0.18426","-0.205141","-0.298695","-0.356166","-0.430322","-0.412428","-0.354264","-0.203089","-0.067947","-0.028773","-0.037884","0.010706","0.127307","0.124535","0.111193","0.156962","0.199931","0.166701","0.048417","-0.064458","-0.075472","0.048273","-0.035329","2"
"-0.359286","-0.491833","-0.337145","-0.328056","-0.278775","-0.145173","-0.094503","0.027833","0.099347","0.384192","0.199511","0.540809","0.555299","0.22266","0.688657","0.672193","0.050333","-0.0868","-0.415027","-0.131993","-0.123014","-0.042833","-0.033723","-0.162336","-0.103225","-0.072334","-0.07233","-0.151576","-0.25316","-0.177279","-0.055012","-0.121274","-0.176155","-0.158844","-0.015451","0.186647","0.273653","0.30662","0.180208","0.048918","0.056192","0.118016","0.062064","0.093841","-0.002175","-0.125858","2"
"0.114336","-0.105641","-0.027126","0.121604","0.434623","0.349449","0.023899","0.449923","0.378585","0.503448","0.426057","0.685366","0.720158","0.430577","0.634642","0.214291","0.402071","-0.087018","-0.450104","-0.124202","0.246294","-0.476126","-0.353919","-0.072279","-0.038287","-0.210999","-0.306679","-0.276032","-0.2418","-0.116924","-0.190584","-0.119663","-0.03403","-0.046339","0.083027","0.190628","0.182965","0.061506","0.052234","-0.034261","-0.076809","0.02023","-0.0245","-0.185827","-0.287778","-0.236829","2"
"-0.100195","-0.119996","-0.247499","-0.25191","-0.117184","0.201589","0.211322","-0.017529","0.084851","1.001136","0.73268","-0.06714","0.550479","0.15115","0.156043","1.022043","-0.053804","0.078058","-0.247593","0.107228","-0.040257","-0.155779","-0.401987","-0.348413","-0.26377","-0.351163","-0.34749","-0.311333","-0.31003","-0.253888","-0.042972","-0.10632","-0.155828","0.268916","0.500498","0.16526","0.076748","0.158635","0.188799","0.152233","0.147472","0.015787","-0.112021","-0.161027","-0.20127","-0.479812","2"
